age,income,score
18,27139.76,34.22
40,65784.24,52.82
41,77135.16,59.66
65,107935.23,54.28
38,61793.79,65.04
44,73902.27,50.27
40,98426.42,62.71
26,41099.51,32.12
54,86587.3,23.76
49,,61.23
49,93821.46,100.0
29,64436.48,66.58
57,97831.25,65.65
23,20621.61,36.26
47,98064.9,66.36
65,,69.31
28,49709.88,32.19
33,41492.5,63.88
41,63831.65,65.34
34,58868.87,63.73
21,39908.42,53.21
41,70562.94,57.15
27,68084.2,66.12
46,78327.68,68.32
29,42788.01,42.29
59,105360.13,59.85
31,66743.5,57.11
36,38788.78,69.5
50,86604.31,43.61
25,51362.03,28.44
43,62630.83,56.68
56,107164.17,69.82
21,,46.54
42,68207.06,59.73
43,65081.81,51.68
49,77306.5,81.45
25,24290.76,
24,20000.0,27.57
46,96312.52,63.89
44,55641.3,27.23
43,,48.24
44,36935.22,70.57
32,,47.37
43,47334.22,52.57
44,92905.53,45.4
31,65288.93,45.85
62,86261.69,56.46
46,105315.53,63.67
26,56283.02,71.32
48,69945.49,65.01
28,20000.0,23.33
49,111531.66,74.21
54,63011.13,61.81
30,23546.74,58.28
52,95679.33,88.93
45,107026.34,53.78
50,98561.18,54.02
63,105600.91,49.67
37,67504.33,52.32
31,62233.98,61.07
29,58372.67,67.6
30,52533.29,49.71
39,63175.19,49.59
44,68201.84,58.34
43,56670.97,39.7
50,73679.17,89.24
40,37839.68,21.83
57,87688.52,65.33
37,43407.31,78.16
65,83946.16,61.42
48,76960.42,56.14
30,68451.2,50.79
27,57498.68,49.79
46,48126.99,69.97
37,44133.25,14.87
49,89963.58,86.32
46,56780.97,30.9
39,58319.58,48.77
30,56008.49,45.56
22,21207.58,49.23
35,56543.36,28.21
50,58404.8,59.73
43,57833.17,82.98
25,45373.43,
42,42222.35,50.25
45,76542.83,
29,46796.0,55.32
42,74054.4,58.31
41,67406.47,46.18
26,62888.64,61.61
44,71318.54,84.17
47,66653.04,52.69
53,84329.38,72.24
53,90117.91,43.97
23,38934.85,31.97
29,46728.02,56.0
46,61740.76,76.18
46,62304.63,59.44
46,51231.78,45.71
65,126743.65,75.57
47,54618.08,32.78
54,73046.6,66.75
51,69395.92,69.7
48,88148.91,55.93
36,52900.91,43.92
49,95377.58,69.11
31,38986.79,39.78
37,62922.18,53.32
34,41733.25,78.74
41,96650.97,61.84
65,82686.02,55.52
18,34647.31,35.17
48,84859.34,72.78
21,40178.1,44.01
34,51725.91,40.83
53,80653.8,80.04
41,64814.21,
27,41395.56,38.13
31,64582.72,26.86
48,108390.6,84.58
31,41491.02,36.89
43,46349.21,60.64
41,62496.06,24.61
32,89966.83,76.71
65,88444.88,44.65
48,98997.29,77.29
18,55165.51,51.94
42,58052.35,38.38
32,59622.59,47.1
50,102769.75,77.88
30,43047.71,49.27
39,57881.04,61.39
46,63364.56,
50,63362.24,30.99
26,31655.5,68.14
36,38619.87,47.77
34,54962.24,38.17
32,39690.48,26.61
61,98284.97,63.26
45,46951.24,62.81
25,45267.29,46.51
51,92024.45,
65,70593.97,35.1
52,87195.22,62.22
22,54066.38,
34,36139.17,50.83
55,110892.99,
32,56547.23,45.87
45,60413.57,14.41
49,76106.88,61.69
29,54690.16,58.11
39,63068.62,60.42
18,38081.34,64.56
28,30750.92,27.52
37,60994.19,63.87
25,,57.89
60,90715.01,36.89
23,23698.84,46.03
35,44046.25,40.45
42,83894.73,60.08
57,105312.57,73.65
23,46291.55,41.46
54,67552.26,45.72
40,58438.07,53.32
28,63529.31,38.2
46,73443.62,41.53
42,101373.02,77.31
33,58095.86,35.47
41,67137.17,65.71
35,51427.61,57.41
41,67046.43,29.8
48,72631.3,47.38
59,102169.93,85.3
25,55069.86,36.97
65,88710.16,55.94
18,20000.0,46.93
38,32724.79,55.99
47,81209.58,56.63
43,51507.35,41.54
33,20000.0,61.34
38,65082.48,81.11
34,91520.98,78.52
33,52300.37,52.05
50,90870.2,51.5
44,,44.43
32,49044.28,57.52
51,92978.95,70.6
44,64177.27,75.75
50,81642.4,70.3
48,79158.79,37.17
30,,61.8
33,67797.38,40.96
49,73826.89,52.18
47,62650.49,57.97
40,70671.42,86.83
41,51634.87,97.19
55,86420.69,71.24
33,52214.93,47.99
47,89136.19,71.06
38,66481.01,68.81
37,58706.33,48.09
53,95044.48,91.94
50,98710.61,69.69
50,86010.33,69.47
56,86653.91,
40,43700.53,54.22
48,59298.45,65.68
36,,41.69
44,59692.31,44.86
38,57852.86,36.12
41,65595.68,61.79
47,81658.22,72.24
30,47214.55,55.94
65,107797.52,94.38
28,45858.8,48.54
25,20000.0,50.03
54,69755.96,40.21
49,75088.62,52.56
47,56088.74,62.46
48,,73.84
40,85740.82,57.5
29,65130.85,
41,61162.84,30.95
32,73171.98,52.37
52,82782.17,74.28
38,55296.68,60.39
30,38940.01,53.82
36,52678.01,51.64
45,64610.11,54.98
33,55409.2,41.9
30,50608.64,60.69
43,67432.06,62.13
43,73963.47,65.37
34,71734.72,49.35
34,68764.62,23.95
43,44903.43,64.76
23,,32.82
23,51680.45,37.62
31,29564.82,53.59
37,55786.47,46.05
44,51044.64,66.25
58,62526.71,63.43
50,86559.81,72.44
38,71508.43,
40,54010.05,69.52
28,20000.0,43.92
40,54473.1,45.95
37,63681.2,56.71
44,46625.26,22.23
30,50860.24,
46,72118.59,41.93
58,99278.67,46.14
39,62836.02,31.44
45,55634.78,68.57
48,93371.16,55.02
35,53400.09,74.14
43,66624.1,47.5
40,49227.64,24.13
41,58108.94,35.96
31,35813.78,63.81
40,60846.99,51.28
46,97639.6,57.66
57,68542.07,58.58
52,56063.45,59.55
65,122567.55,90.95
31,46047.89,70.41
50,68665.68,50.83
42,81898.73,40.74
65,91415.77,57.6
30,75840.78,62.52
30,58053.89,38.23
33,44892.26,33.94
18,62359.62,59.28
34,44450.69,47.42
31,60467.04,53.98
42,70196.48,45.35
44,88677.73,59.44
63,120193.74,59.53
51,80587.69,73.55
33,41314.47,62.63
29,53728.12,23.55
46,,39.95
24,69436.61,34.03
62,98014.29,56.25
54,78750.1,
34,57325.04,30.7
19,20000.0,26.17
56,72795.49,42.54
39,78944.49,62.76
55,75427.28,59.52
21,20000.0,29.17
33,60261.04,56.07
40,80879.95,52.09
41,74629.95,54.14
35,69839.54,81.71
47,62859.37,74.39
27,22455.67,21.32
38,82957.17,73.43
41,60325.12,65.61
46,68497.4,38.94
49,95731.98,77.53
27,51099.89,73.44
22,42224.26,30.57
55,118473.22,59.06
44,59328.88,68.37
31,63444.84,58.55
59,91775.93,72.2
41,69111.03,61.48
54,107154.38,74.91
41,71832.87,
65,108167.9,85.1
61,,87.77
37,53044.35,47.57
52,67900.13,
48,58944.63,30.01
56,58140.02,60.43
28,76474.48,67.41
48,58800.8,52.0
53,78732.84,76.44
19,27190.49,37.39
26,46312.45,57.24
18,42236.06,32.12
37,71057.78,56.67
49,67169.6,53.11
58,87535.6,65.89
41,68572.41,50.65
60,88584.71,60.89
23,62268.36,66.48
20,39703.74,40.02
39,73023.31,33.58
45,79856.4,86.2
40,80013.6,80.73
18,32715.32,24.85
39,41943.36,57.66
24,45514.87,40.96
48,,59.05
44,61669.52,58.3
29,54877.62,48.11
34,72324.64,45.69
27,44253.23,37.73
39,66504.27,41.76
51,105725.79,56.1
28,48868.23,48.62
46,111098.08,59.63
34,61938.01,64.21
30,22316.85,63.08
39,72373.58,48.76
28,50083.01,
33,72380.6,64.96
26,51535.92,57.59
64,96288.21,66.57
40,45270.27,59.56
32,47269.59,56.32
43,54093.83,32.8
39,52270.24,63.79
37,67851.22,69.26
47,99103.57,54.92
49,82555.21,
34,,55.42
33,59304.31,49.96
37,75998.54,74.76
18,20853.26,75.74
22,33716.3,32.78
56,87824.06,41.89
60,80835.94,64.84
37,68241.56,66.9
47,71563.8,53.72
44,74895.49,80.1
65,87187.62,42.32
53,76590.47,69.26
38,71533.2,48.09
29,40207.77,72.53
21,59988.42,83.22
42,60667.8,42.06
31,52755.96,42.68
23,51388.3,63.36
32,30086.2,37.56
27,20000.0,39.32
60,70483.7,57.21
51,97808.28,37.14
40,54578.62,51.32
58,128011.98,65.66
41,55928.92,44.58
30,50265.15,71.74
58,113547.88,52.34
46,102791.77,79.8
28,75252.12,54.23
38,77699.4,55.04
29,62599.81,66.06
23,46997.51,54.1
51,91346.61,72.34
63,,77.56
23,25552.8,36.88
47,73082.83,48.51
32,48735.66,33.3
34,47433.32,36.76
33,62782.72,98.5
30,,72.6
41,65199.49,34.8
30,,36.9
43,50742.89,57.48
39,59190.82,61.27
37,47946.6,57.55
29,20000.0,36.18
33,51377.91,48.58
49,74770.83,63.18
46,94718.26,66.19
28,54866.18,18.33
41,49425.18,46.36
49,104336.36,55.34
20,51266.21,53.05
47,81511.95,100.0
32,47675.51,54.74
47,58879.19,48.26
31,43678.23,61.72
18,46843.35,
20,61973.03,60.29
41,87014.18,71.44
43,60342.26,84.3
29,29928.04,26.35
48,76607.96,65.97
20,20000.0,26.1
39,66658.08,63.89
25,38987.67,32.55
32,44276.4,41.83
41,39932.63,42.22
30,55216.56,66.38
35,48087.49,63.14
52,,35.84
33,20000.0,40.82
50,77629.73,48.57
26,69249.05,37.54
46,97455.36,62.56
57,82091.79,56.07
18,20966.82,76.72
30,55687.5,58.39
47,,32.14
38,63872.06,46.15
44,81171.83,75.71
33,70532.26,88.17
41,63056.31,30.56
38,57142.7,24.18
54,70850.34,85.01
43,55176.37,57.57
44,65679.66,42.2
35,61096.7,61.72
34,67926.86,16.44
35,43166.27,47.77
45,92490.47,69.08
35,51355.43,64.32
43,67895.44,40.76
65,89149.04,64.33
50,42316.64,33.56
36,70392.26,60.63
54,95674.51,51.79
35,51434.73,44.36
18,31004.86,28.73
28,52593.53,60.63
18,20000.0,52.88
36,48736.97,46.06
40,75245.5,58.99
60,74361.53,36.39
44,73288.06,53.27
37,38707.46,45.48
50,84925.75,100.0
18,29465.38,26.48
43,43014.08,69.63
49,94346.66,79.74
22,25366.57,46.0
54,71433.79,83.52
44,72101.47,62.95
35,72754.38,63.42
48,59152.75,52.25
65,101425.2,85.5
42,72705.84,74.02
43,77864.55,49.9
34,57378.13,32.67
30,42197.38,44.35
50,65532.19,43.18
30,48882.65,48.67
41,48206.11,67.96
34,20000.0,33.14
46,78170.03,58.75
44,82564.94,61.73
52,46231.73,61.47
34,38673.74,12.52
37,67429.57,46.71
28,76244.69,61.92
35,55314.63,69.77
45,58871.36,45.58
49,73882.35,29.81
29,67024.17,64.97
50,68963.44,46.79
56,75413.6,40.63
45,63200.68,45.04
63,82482.4,58.06
31,50911.85,41.23
25,64966.39,21.91
19,35829.22,58.73
58,86143.5,81.17
48,70401.41,66.57
39,38551.61,29.12
43,81286.08,57.41
26,41573.64,47.09
65,97792.8,74.91
42,113222.59,81.1
41,69450.4,45.47
49,64786.93,56.16
46,65262.8,61.95
43,84256.6,83.26
31,50470.52,60.72
46,49912.26,61.81
63,110664.87,71.48
56,77195.4,80.22
59,119776.83,79.41
34,69998.84,43.75
28,38477.28,67.21
38,79951.08,70.45
41,65020.88,48.36
53,95487.05,
20,39806.63,51.05
58,77836.56,66.23
38,50502.61,53.13
35,70765.55,61.59
28,39760.49,72.09
20,27157.85,58.46
50,63490.23,57.36
41,70673.71,71.01
25,70718.58,41.42
24,23675.59,47.19
36,57319.17,79.58
60,114225.7,68.14
37,57132.73,39.66
22,42729.0,37.8
37,42640.72,31.2
37,64515.58,43.07
18,27192.84,
39,76808.64,37.85
37,76653.97,59.12
48,114375.17,84.99
62,104975.71,54.71
54,88165.12,85.51
37,61075.77,61.35
27,37785.04,61.39
65,105577.26,58.66
41,59634.91,66.03
40,65777.64,38.88
40,82329.71,74.13
42,51467.39,53.07
38,77499.69,67.47
33,72430.81,39.84
33,51385.51,37.04
40,30582.62,52.49
33,44101.02,33.81
31,69623.69,63.49
41,64572.72,34.35
37,43420.88,60.53
58,82500.25,
18,42609.3,55.82
53,90848.13,73.0
55,81845.55,50.16
18,24497.63,50.23
36,50955.25,54.23
36,42477.91,39.41
23,61895.42,38.84
31,44164.49,18.62
27,61267.01,59.0
61,117360.61,48.98
51,94816.87,
55,79413.69,55.85
49,82046.05,70.87
26,42314.13,42.91
34,40003.11,41.73
46,76674.13,69.87
25,23316.1,46.13
49,93649.16,69.29
37,51704.88,57.61
36,59270.62,30.06
49,,71.37
45,67113.17,64.89
36,65303.02,39.85
54,76744.38,55.25
27,,51.61
47,53897.15,49.28
47,75571.52,63.53
36,86512.1,83.64
44,53865.42,67.51
25,30313.78,23.75
51,87341.1,71.78
38,62365.49,74.06
34,58850.44,58.75
53,89219.97,79.44
32,59842.64,83.46
23,54293.19,66.79
21,41127.95,50.78
47,70289.31,72.44
25,50040.88,52.19
61,,74.72
18,28010.49,37.4
60,78918.28,83.09
43,83404.52,48.86
39,59453.45,76.14
33,20601.41,
45,82895.78,39.98
40,54292.65,56.95
53,81501.43,29.0
41,70035.8,
42,68562.93,69.47
36,67096.76,
39,55442.68,53.67
44,76237.02,88.06
19,28323.77,35.19
24,49814.82,34.05
49,85609.27,84.09
42,,80.12
38,75978.03,58.71
40,55292.36,66.94
44,81377.34,80.58
34,58793.64,41.79
31,76563.27,51.57
42,63173.22,72.85
28,40149.54,71.99
45,70057.26,65.13
20,27805.8,29.4
52,93523.93,94.31
46,47262.1,41.12
43,51803.3,45.57
52,64671.39,60.03
60,,92.39
52,106917.86,81.78
18,28433.26,49.03
25,37435.29,52.76
33,,51.59
40,80897.81,68.67
46,,14.86
31,53512.15,46.72
42,80989.77,63.95
31,,35.04
33,,57.41
23,52695.79,47.83
29,20000.0,66.33
24,48837.81,73.21
28,35623.15,38.22
53,54506.06,49.24
29,53578.86,
65,121104.88,66.93
46,69817.99,59.53
42,80620.17,48.83
30,71733.73,
48,95329.29,74.45
33,77237.99,68.52
41,76328.09,46.71
65,101631.5,80.64
39,37241.43,36.27
54,,63.8
32,37694.13,58.2
40,94934.35,64.47
61,92236.12,70.9
32,53562.67,43.44
62,103896.35,65.02
48,76393.57,55.71
33,,48.24
48,65043.6,52.36
52,83425.09,37.91
47,63055.52,46.98
21,20000.0,35.73
31,40734.99,43.07
37,57989.11,49.04
39,55220.66,50.81
47,63785.78,61.79
42,45103.86,61.49
24,37717.22,36.16
45,47272.76,31.04
47,85391.38,46.17
47,74312.82,50.8
53,60590.78,48.25
50,73372.46,46.24
46,59982.9,33.89
39,66524.63,48.67
20,53209.46,53.79
45,42605.54,56.46
42,68463.77,47.79
43,,48.97
25,50088.63,36.13
27,46738.93,48.44
53,70677.21,44.17
40,57502.2,61.1
48,63326.62,27.65
40,79649.84,54.49
40,63855.29,59.14
51,108406.97,72.23
34,52801.28,91.33
41,54104.07,56.62
34,31973.33,28.93
35,28131.97,41.28
36,33672.86,17.91
43,71005.31,55.79
34,62013.4,41.51
55,61885.75,67.69
29,60322.64,45.2
38,52390.39,49.05
35,57286.74,42.9
57,113228.91,97.16
42,79990.58,55.18
52,77545.24,86.67
22,22892.03,53.18
43,35529.67,52.41
51,68226.05,61.61
41,61314.16,59.68
53,67370.95,26.88
34,51719.95,46.39
57,89521.03,75.85
65,97127.16,64.98
36,46718.87,27.83
35,57510.77,51.72
57,95790.03,90.82
59,75076.31,77.06
34,74752.51,57.32
35,53957.82,65.59
37,58210.62,47.24
24,49423.11,24.25
29,49962.51,36.12
28,59222.52,76.52
31,53486.51,47.05
40,53189.11,47.41
43,72638.42,53.05
59,73753.12,86.48
28,46658.02,73.28
52,80219.35,93.35
37,56026.45,49.62
39,60181.59,57.83
48,46919.02,26.22
27,34560.13,67.01
45,71276.05,
42,68393.99,59.38
46,56449.0,35.69
43,87190.65,53.56
65,87507.38,49.94
32,66062.54,46.24
34,59849.97,45.2
33,42090.06,39.14
33,79631.08,72.38
32,33622.48,27.97
54,98189.61,69.37
57,103577.81,86.13
33,42667.26,39.86
30,68904.58,45.53
46,67734.78,52.45
33,57390.39,70.16
48,78297.6,62.34
42,64637.98,46.91
22,47878.73,56.55
59,102757.42,51.05
62,69097.82,66.59
33,71534.91,63.31
35,31083.99,39.08
43,83633.77,48.63
44,85920.8,48.67
48,58489.3,60.85
64,93021.47,82.78
38,43229.38,38.18
30,45406.83,55.34
23,,13.21
31,61538.17,45.08
40,82058.35,60.22
62,116237.3,58.43
34,45250.48,34.37
43,63889.86,44.61
40,37452.81,50.2
54,72303.03,54.62
65,114972.77,38.08
34,77678.1,27.42
34,35674.86,36.12
53,72907.93,64.5
48,74877.96,17.08
62,100443.15,59.32
47,61366.65,45.9
36,62893.66,75.12
47,66524.2,49.73
53,82739.88,66.66
50,,64.11
46,72227.27,25.45
53,75654.36,70.07
54,82403.17,64.03
57,86553.42,69.81
48,69126.61,100.0
38,56109.93,20.77
42,,89.08
54,93130.95,60.07
30,43862.95,52.26
44,80090.44,59.35
35,50912.61,43.94
40,81114.28,51.82
55,91556.77,68.79
42,64830.25,32.19
41,70551.61,68.11
24,20000.0,33.76
49,59531.05,36.23
48,56709.84,45.49
65,102644.15,86.41
36,83447.72,53.12
43,100414.21,72.18
43,77059.67,48.06
59,98906.83,77.67
39,34268.81,55.04
43,59882.28,81.02
47,62125.38,51.41
42,57046.25,62.38
35,52442.04,52.29
42,59412.26,72.58
53,52635.87,40.1
28,55741.38,63.09
42,49302.31,46.85
32,53986.53,50.37
54,,73.25
22,21791.87,44.38
33,20000.0,38.26
45,65499.75,58.39
59,107693.83,92.9
39,91191.71,78.51
33,34563.16,57.89
63,104311.32,61.27
23,29956.09,29.98
18,28410.77,57.13
45,110585.41,83.34
34,31418.47,65.9
28,48423.9,40.41
49,82765.81,57.48
43,83675.21,36.63
33,54316.33,45.55
25,44575.28,63.14
50,72829.5,50.61
48,78740.53,69.19
39,56066.95,49.16
62,105563.04,73.38
27,38194.32,28.85
22,41197.05,48.34
32,50106.71,5.17
39,79070.21,56.89
43,66609.2,31.08
37,32062.26,62.11
44,88265.82,74.42
25,,49.3
57,79181.27,82.54
39,52586.36,36.63
53,103727.9,94.12
44,37133.94,59.69
45,118287.79,69.21
47,89096.66,80.07
45,74407.34,41.54
48,73745.6,45.55
56,91208.06,54.61
42,74354.22,50.18
49,85440.3,45.97
39,69718.82,74.92
57,90265.82,59.54
32,47864.86,54.58
62,,55.83
40,59353.53,25.81
23,54252.6,55.47
42,74209.23,29.39
32,20000.0,38.97
50,87970.1,42.13
32,54173.81,81.2
35,54688.07,65.23
18,24172.22,42.98
35,71720.18,76.2
18,44212.9,35.38
21,22896.58,49.12
49,82793.25,
49,62569.55,58.15
45,49963.96,69.07
28,36193.67,56.39
39,,62.69
40,77232.03,34.25
26,49845.72,35.55
58,100937.61,65.14
51,86535.2,63.58
37,,32.85
40,69962.78,92.83
43,,82.33
18,41314.37,56.14
37,76384.51,59.88
32,61348.84,50.6
28,,35.8
37,73992.45,59.16
62,94960.54,68.85
48,61307.05,35.14
33,50272.77,55.1
47,62132.95,51.72
